content,up_class
Самолет  выходит на рынок элитной недвижимости. Компания планирует реализовывать партнерство с Интеко.,1
Московская биржа   публикация объемов торгов за октябрь.,0
ИСКЧ   РСБУ 3кв2021.,1
Газпром  с ноября начинает поставки газа в Молдавию по новому пятилетнему контракту с нефтяной привязкой контрактов.,0
АФК Система  оказалась связана с производством воды Архыз и может объединить дистрибуцию с Ессентуками.,0
Мать и дитя   операционные результаты за 3кв2021.,0
Детский мир   МСФО 3кв2021.,0
Энел Россия   РСБУ 3кв2021.,0
Аэрофлот   РСБУ 3кв2021.,0
3. Куйбышевазот  — инвестиция в один из самых доходных химических бизнесов в мире.,0
4. В России фиксируют рост продаж алкоголя. Вероятно ускорение роста на фоне локдауна. На этом заработает Белуга .,0
5. Чистая прибыль Новатэка  может удвоиться в ближайшие лет.,0
Мосбиржа   МСФО 3кв2021.,0
Мосэнерго   РСБУ 9м2021.,0
"Куйбышевазот  — инвестиция в один из самых доходных химических бизнесов в мире     1⃣ Куйбышевазот зарабатывает сверхприбыли от роста цен на удобрения. 2⃣ Куйбышевазот наращивает мощности. Это увеличит доходы компании от высоких цен на продукцию. 3⃣ Куйбышевазот имеет самый большой потенциал роста среди аналогов в России и в мире. Апсайд до мировых аналогов - более . 4⃣ Триггер в Куйбышевазоте может привести к росту акций на . 5⃣ Куйбышевазот — инвестиция в один из самых доходных химических бизнесов в мире.  Справедливая стоимость акций Куйбышевазот KAZT руб., потенциал роста .",1
"У акций  Куйбышевазот  самый большой потенциал роста среди российских производителей удобрений по мультипликатору EV/EBITDA года.   Потенциал роста Куйбышевазота до аналогов почти в раза см. фото   Справедливая стоимость акций Куйбышевазот KAZT рублей, потенциал роста .",1
"Недооценку акций Куйбышевазот  могут заметить в ближайшее время. Куйбышевазот обладает самым большим апсайдом по мультипликатору P/E в секторе - в раза.  В мире наблюдается высокий спрос на акции производителей удобрений. Вчера прошло IPO одного из крупнейших производителей азотных удобрений в мире Fertiglobe. Компания была оценена в EV/EBITDA, P/E за год. Несмотря на высокую оценку, акции компании после размещения подскочили на .   Куйбышевазот также может привлечь внимание инвесторов. Компания уже демонстрирует значительный рост финансовых результатов, который продолжится.",0
"Куйбышевазот  покажет кратный рост финансовых показателей по итогам года.   Куйбышевазот продолжает получать сверхприбыль на росте цен на удобрения. Вчера компания отчиталась о трехзначном росте чистой прибыли за квартал. При этом ситуация на рынке удобрений продолжает играть в пользу компании.  По итогам года Куйбышевазота может дать  дивидендной доходности. Если же компания решит направить всю чистую прибыль на дивиденды - доходность составит более .    Справедливая стоимость акций Куйбышевазот KAZT рублей, потенциал роста .",1
"Куйбышевазот   справедливая стоимость руб., апсайд .  Рыночная цена акций стремится к их справедливой цене",1
Цены на химвещества и удобрения продолжают обновлять максимумы или находятся около них  Вчера вышла сильная отчетность Куйбышевазот . Текущие цены на удобрения могут обеспечить компании еще более удачный четвертый квартал.,0
"Интер РАО  хочет поставлять электроэнергию в Казахстан, где ожидается энергодефицит из-за развития ферм по майнингу криптовалюты.",0
"Участниками эксперимента по онлайн-продаже рецептурных препаратов могут стать OZON , Магнит , Вкусвилл, Aliexpress Russia, Яндекс.Маркет.",1
Магнит   МСФО за 3кв2021.,0
Сбербанк   МСФО за 3кв2021.,0
Энел Россия   МСФО за 3кв2021.,0
Русгидро   РСБУ за 3кв2021.,0
Юнипро   РСБУ за 3кв2021.,0
ЕМС   операционные результаты за 3кв2021.,1
"Банковский сектор  Hold. Российские банки прогнозируют рекордные прибыли в этом году  Сбер  заработает более трлн руб., а ВТБ  - более млрд. В пятницу ЦБ России в очередной раз повысил ключевую поставку, и прогнозируется, что к концу года ставка будет ещё выше. Это сильно ударит по потребительским кредитам, что скажется на прибыли в году.",0
"Банковский сектор  Hold. Российские банки прогнозируют рекордные прибыли в этом году  Сбер  заработает более трлн руб., а ВТБ  - более млрд. В пятницу ЦБ России в очередной раз повысил ключевую поставку, и прогнозируется, что к концу года ставка будет ещё выше. Это сильно ударит по потребительским кредитам, что скажется на прибыли в году.",0
"Девелопмент  Buy. Российский рынок недвижимости имеет кратный потенциал роста, причинами этого роста являются фундаментальные макропоказатели - низкая обеспеченность кв.м. и старый жилищный фонд. Менеджмент Самолета  считает, что цены продолжат расти. Помимо этого в секторе происходит консолидация - мелкие игроки уходят, по некоторым прогнозам число игроков на рынке может сократиться в раза.",0
"Куйбышевазот  показал рост финансовых результатов за квартал года.   Так же, как и во квартале компания заработала около млрд руб выручки  за 9м г/г и млрд руб чистой прибыли  за 9м г/г.  Куйбышевазот торгуется дешевле своих аналогов, дисконт может сократиться по мере роста дивидендов   Исходя из отчетности и капитализации ~млрд руб компания оценивается в ~5х P/E года против 10х у аналогов в среднем.   Дисконт может сократиться, когда компания из этих высоких доходов начнет платить высокие дивиденды.  По итогам года дивидендная доходность Куйбышевазота может составить  при уровне выплат в  от чистой прибыли или даже  — при выплате всей чистой прибыли компании.   Справедливая стоимость акций Куйбышевазот KAZT рублей, потенциал роста .",1
РСБУ Куйбышевазот  за месяцев  Выручка млрд руб годом ранее млрд Чистая прибыль млрд годом ранее млрд,0
АКЦИОНЕРЫ TCS GROUP  НОЯБРЯ РАССМОТРЯТ ВОПРОС УВЕЛИЧЕНИЯ КАПИТАЛА,1
Самолет  рассматривает возможность проведения M&A сделок. Одна из них может принести  к EBITDA года.  Сегодня появились новости об одобрении ФАС покупки Интеко. Один из претендентов — Самолет.  Вклад Интеко в EBITDA Самолета может дать почти  к EBITDA года. Обновленные прогнозы Самолета по EBITDA — млрд руб. В Интеко называли план на год заработать млрд руб EBITDA. В прошлом году Интеко заработал млрд. рублей. EBITDA.,1
"Крупные девелоперы выигрывают от фундаментальных трендов на рынке недвижимости. Самое важное из звонка Самолета    1⃣ Число девелоперов сократится почти в 3раза — с до 300игроков. От этого выигрывают крупнейшие игроки, чья доля на рынке будет расти. Также это может положительно сказаться на марже  меньшая конкуренция на рынке - позитив для маржинальности.  2⃣ Предложение недвижимости сокращается из года в год. За несколько лет предложение упало в раза - с млн кв. м до млн кв. м. Цены сильнее зависят от предложения на рынке, чем от ипотечной ставки. При низком предложении, снижение цены маловероятно, более вероятен рост цен.  3⃣ За сильный спрос большая доля старого жилищного фонда и низкая обеспеченность населения жильем порядка кв. м на человека.  4⃣ Снижения спроса не наблюдается  трафик растет каждый месяц на м/м.  5⃣ Самолет рассматривает возможность проведения M&A сделок, если сделки создадут акционерную стоимость.",1
Возможная покупка Интеко Самолетом  — шаг по укреплению позиций компании в Москве и России.  ФАС России одобрила покупку Интеко     Источник РДВ в конце августа оценивал вклад Интеко в бизнес Самолета,0
Новатэк   МСФО 3кв2021.,0
Яндекс   МСФО 3кв2021.,0
ВТБ   МСФО 3кв2021.,0
XRetailGroup   день инвестора.,0
"Белуга   справедливая стоимость руб., апсайд .  Рыночная цена акций стремится к их справедливой цене",1
" — потенциал роста акций Белуги  до верхней оценки Mercury Retail Group Красное&Белое + Бристоль. Винлаб Белуги растет быстрее аналогов.  На рынке ожидается IPO Mercury Retail Group MRG, холдинг владеет сетями Красное&Белое и Бристоль. Предварительно компания оценивается в $20млрд.  Размещение по верхней границе дает оценку MRG в EV/EBITDA. Ближайший публичный аналог MRG - компания Белуга торгуется сейчас по EV/EBITDA года.  При успешном размещении MRG акции Белуги могут ждать позитивная переоценка  апсайд  до верхней оценки MRG.   Справедливая стоимость акций Белуга BELU руб., апсайд ",1
"Белуга  - самый быстрорастущий алкогольный ритейлер в России. Сеть опережает конкурентов по темпам роста почти вдвое, при этом Белуга планирует увеличить число магазинов почти в раз. Винлаб при всем вышеперечисленном - самый маржинальный фудритейлер из публичных.",0
"В России зафиксировали рост продаж алкоголя в сентябре. В октябре вероятно ускорение роста на фоне локдауна. На этом заработает Белуга .  Объем розничной продажи алкогольной продукции в сентябре года вырос на  г/г   водки на  — г/г,  коньяка на  — г/г,  слабоалкогольных напитков — на  г/г.  По данным Nielsen пик спроса в году пришелся на неделю после объявления о введении режима нерабочих дней в марте. Продажи водки в натуральном выражении тогда выросли на , пива — на , виски — на , а игристого вина — на .  Главный публичный бенефициар такого роста продаж - компания Белуга , владеющая самой быстрорастущей сетью алкомаркетов.   Справедливая стоимость акций Белуга BELU руб., апсайд ",1
"Чистая прибыль Новатэка  может удвоиться в ближайшие лет.  1⃣ Растет азиатский рынок СПГ, а вместе с ним и прибыль Новатэка. С начала года Китай - ключевое направление сбыта СПГ - увеличил импорт СПГ на .  Новатэк заключает долгосрочные контракты и ведет переговоры со странами Азии. Не так давно Новатэк открыл представительство во Вьетнаме, где импорт СПГ начнется уже в году.  2⃣ Россия планирует к году занять  мирового рынка СПГ. Новатэку отводится ключевая роль. Имеющиеся мощности позволяют производить млн тонн СПГ, но в ближайшие 15лет этот показатель может увеличиться до млн тонн.  3⃣ Новатэк заработает на продаже новых долей в Арктик СПГ-2. В сентябре стало известно, что Индия думает о покупке  в проекте Арктик СПГ–2. При оценке проекта в $млрд Новатэк получит от этой сделке $2.млрд кэша.  4⃣ Рост цен на СПГ неизбежен. По мнению аналитиков Morgan Stanley, цена на СПГ будет в среднем на  выше, чем за последние лет.",1
"Цены на СПГ в Азии выросли в раза за год.   Цены могут продолжить расти и дальше  на двух крупных терминалах СПГ в США произошли сбои. На эти терминалы приходилось  всего производства СПГ США. Из-за этого поставки в Азию могут сократиться, что вызовет рост цен.    Ранее Мозговой Центр Сигналов заметил, что акции Новатэка необоснованно отстали от динамики нефтегазового сектора РФ.  Бенефициаром роста цен является Новатэк .",0
"Завтра Новатэк  первым из российского нефтегаза отчитывается по итогам квартала 2021.   Рост цен на нефть и повышенный азиатский спрос на СПГ могут помочь Новатэку превзойти ожидания рынка, посчитал источник РДВ.   Выручка может составить млрд рублей —  г/г.    EBITDA может составить млрд руб. —  г/г.  Средняя цена на нефть увеличилась на  по сравнению с предыдущим кварталом. Большая часть долгосрочных контрактов Новатэка имеет нефтяную привязку, поэтому компания заработает максимум от высоких цен на нефть.  Растет спрос на СПГ со стороны Азиатских стран. Китай нарастил импорт и сменил Японию в роли глобального лидера по импорту СПГ. Как недавно заявил Леонид Михельсон, большую часть объемов и по долгосрочным и по спотовым контрактам Новатэк продает именно в Азиатские страны.",1
Молдавия впервые в своей истории закупила газ у альтернативного Газпрому  поставщика.,0
"Глава КПРФ в Татарстане опасается, что у республики «возьмут» Татнефть .",0
XRetailGroup   МСФО 3кв2021.,0
"Газпром  прекратит поставки газа в Молдавию, если с республикой не будет подписан новый контракт.",0
Petropavlovsk   производственные результаты за 3кв2021.,0
Русагро   производственные результаты за 3кв2021.,0
Лента   производственные результаты за 3кв2021.,1
"Самое важное за неделю    Обзор. Кто выходит на IPO в России и что это значит для рынка. 2. Рост доходности облигаций США негативно отразится на золоте и акциях техсектора. Теперь биткоин считается лучшей защитой от инфляции, чем золото. 3. В России новый локдаун. На рынке, есть компании кто больше остальных выигрывает и проигрывает от новых ограничений. 4. Сегежа  — недооценная компания роста с апсайдом более . Что станет драйвером роста бизнеса Сегежи. 5. В рынок урана текут инвестиции. Это может привести к кратному росту цен на уран и акции уранодобывающих компаний.   RDV PREMIUM, ваша первоклассная армия аналитиков-профи в мобильном устройстве",0
"Мать и дитя  выигрывает от новой волны эпидемии коронавируса. Лечение пациентов с COVIDпринесет до  выручки года.  У Мать и дитя работает ковидный госпиталь Лапинона Рублевке. В Москве растет количество госпитализаций с COVID-19. При такой загрузке Лапинозарабатывает млрд рублей выручки в год — это  от всей выручки 2020.  Мать и дитя строит новые ковидные госпитали в Санкт-Петербурге и Тюмени. Это богатые регионы, где нет ни одной частной койки, а государственные заканчиваются СПб, Тюмень. Новые госпитали Мать и дитя могут быстро заполниться сразу, как будут достроены — в конце — начале года.   Справедливая стоимость акций Мать и дитя MDMG руб., апсайд ",1
"Белуга  выигрывает от нового локдауна. Рост спроса на алкогольную продукцию приводит к росту доходов сети.  Прошлый локдаун привел к росту онлайн-продаж. В полугодии 2020, на который пришлась большая часть локдауна, сеть Винлаб выросла по EBITDA на , до млрд рублей. Доля онлайн-продаж в выручке сети выросла в раза. При это число магазинов выросло всего на .  Новые ограничения вкупе с праздниками также могут увеличить показатели сети. Этому способствует модель Click and Collect  - когда магазин одновременно является и пунктом выдачи заказов.   Справедливая стоимость акций Белуга BELU руб., апсайд ",1
ММК   МСФО за 3квг.,0
НЛМК   МСФО за 3квг.,0
МВидео   операционные результаты за 3квг.,0
"Здравоохранение  Buy. В России разгорается новая волна Covid президент подписал указ о нерабочих днях, что говорит о серьезности ситуации. Сложившаяся ситуация повышает интерес к продукции и услугам компаний  Белуге  и Мать и Дитя , а вот для Аэрофлота  ситуация складывается негативная.",1
"Здравоохранение  Buy. В России разгорается новая волна Covid президент подписал указ о нерабочих днях, что говорит о серьезности ситуации. Сложившаяся ситуация повышает интерес к продукции и услугам компаний  Белуге  и Мать и Дитя , а вот для Аэрофлота  ситуация складывается негативная.",1
"Здравоохранение  Buy. В России разгорается новая волна Covid президент подписал указ о нерабочих днях, что говорит о серьезности ситуации. Сложившаяся ситуация повышает интерес к продукции и услугам компаний  Белуге  и Мать и Дитя , а вот для Аэрофлота  ситуация складывается негативная.",1
"Алмазодобывающий сектор  Hold. Добывающие алмазы компании продолжают подтверждать высокий спрос на продукцию. Недавно De Beers, представив свои данные по продажам, сообщила о сильном спросе на украшения со стороны потребителей в США перед грядущими праздниками. В РФ от данного тренда выигрывает Алроса .",0
"Мать и дитя  выигрывает от новой волны эпидемии коронавируса. Лечение пациентов с COVIDпринесет до  выручки года.  У Мать и дитя работает ковидный госпиталь Лапинона Рублевке. В Москве растет количество госпитализаций с COVID-19. При такой загрузке Лапинозарабатывает млрд рублей выручки в год — это  от всей выручки 2020.  Мать и дитя строит новые ковидные госпитали в Санкт-Петербурге и Тюмени. Это богатые регионы, где нет ни одной частной койки, а государственные заканчиваются СПб, Тюмень. Новые госпитали Мать и дитя могут быстро заполниться сразу, как будут достроены — в конце — начале года.   Справедливая стоимость акций Мать и дитя MDMG руб., апсайд ",1
"Белуга  выигрывает от нового локдауна. В условиях карантина растёт спрос на алкогольную продукцию.  Праздничные и выходные дни уходящего года, а сейчас и локдаун, поддерживают бизнес Белуги. Основываясь на исторической сезонности, во втором полугодии Белуга может заработать в раза больше чистой прибыли, чем в первом.  Белуга — самый быстрорастущий алкогольный ритейлер в России. Выручка Белуги к году может вырасти вдвое. Аналитики ждут роста акций Белуги более чем в раза.  Глава компании Мечетин заявил об ускорении стратегии, что приведет к более быстрому росту финансовых показателей компании.   Справедливая стоимость акций Белуга BELU руб., апсайд ",1
"От ограничений в передвижении проигрывает авиаперевозчик Аэрофлот . У компании ожидается низкий сезон полётов. Появляется риск закрытия воздушных границ из-за большого количества заражений в России. Кроме того, негативное влияние на акции оказывают рекордно высокие цены на топливо и переоцененность акций.",0
"От введения карантина выигрывает производитель алкоголя Белуга . К тому же, алкопроизводители традиционно больше зарабатывают во втором полугодии из-за выходных и праздничных дней в ноябре и к Новому году.",1
"От увеличения числа заболеваний и госпитализаций выигрывает сеть клиник Мать и дитя . У компании есть действующий ковидный госпиталь в Москве, ещё два - в Санкт-Петербурге и Тюмени - на последних этапах строительства.",0
Норникель   производственные результаты за 3кв2021.,0
Petropavlovsk   производственные результаты за 3кв2021.,0
"Сборник. Сегежа  — недооценная компания роста с апсайдом более . Что станет драйвером роста бизнеса Сегежи   1. Сегежа заберет большую часть роста спроса на лесную продукцию, поскольку обладает уникальным «лесным банком», который в раз больше, чем у конкурентов в мире. 2. Недавняя покупка активов в Сибири увеличила «лесной банк» Сегежи в два раза. Кроме того, сибирские активы могут увеличить EBITDA Сегежи на млрд. Для сравнения, вся EBITDA компании в году составила млрд руб. 3. Планируемый запуск лесопромышленного кластера Сегежа-Запад позволит компании дополнительно монетизировать свой «лесной банк»  добавит ещё на млрд к EBITDA.  Благодаря большому «лесному банку» и его монетизации Сегежа может вырасти на  по EBITDA за следующие 3года.   Справедливая стоимость Сегежа SGZH руб., апсайд ",1
"Акции Алросы  могут закрыть -ый дивидендный гэп за торговых дней.  В пятницу октября акции Алросы торговались последний день с дивидендом руб за 1Пгода. А в понедельник после отсечки акции торговались даже ниже размера дивиденда.  За последние года средняя скорость закрытия дивидендого гэпа составляет  в день. Исходя из доходности в  за 1Пгода на закрытие дивидендного гэпа может понадобиться торговых дней.   Справедливая стоимость Алроса ALRS руб., апсайд ",1
"Акции Алросы  могут закрыть -ый дивидендный гэп в ближайшее время.  1. За последние года акции Алросы закрывают дивидендый гэп в среднем за торговых дней. 2. Дивидендая доходность  по итогам года — значительно выше средней по рынку. Уже ноября выйдет МСФО за 3кв2021, станет частично понятен размер дивиденда за 2п2021. 3. Поддержкой акции будет высокий спрос на рынке и низкое предложение от конкурентов Алросы, которые поддержат цены на алмазы. Общий объем продаж Алросы в сентябре вырос на  в сравнении с доковидным годом.   Справедливая стоимость Алроса ALRS руб., апсайд ",1
Гендиректор российского eBay перешел в Тинькофф . Он будет развивать сервисы для бизнеса по выводу продуктов и услуг на маркетплейсы.,1
Русгидро   операционные результаты 9м2021.,0
"Ребалансировка в энергоресурсах отразится на российских акциях. Газпром  рискует потерять статус самой популярной бумаги у российских инвесторов, которые будут искать куда переложить свои деньги в нефтянке. Роснефть  — топ-пик РДВ в нефтяном секторе с апсайдом до справедливой стоимости акций .",1
"Ребалансировка в энергоресурсах отразится на российских акциях. Газпром  рискует потерять статус самой популярной бумаги у российских инвесторов, которые будут искать куда переложить свои деньги в нефтянке. Роснефть  — топ-пик РДВ в нефтяном секторе с апсайдом до справедливой стоимости акций .",1
"18.10.  Главные темы   ЦБ может поднять ключевую ставку до  на заседании октября, считают эксперты. Начало цикла снижения ставки ожидается в следующем году.  Рекордный рост мировых цен на азотные удобрения, до $за тонну, и дефицит на основных рынках вызвали резкий спрос на эту продукцию у российских аграриев.  Онлайн-ритейлеры испытывают нехватку сборщиков и автокурьеров. Их зарплаты выросли в–2.раза с начала года.  Гендиректор ОАК UNAC Юрий Слюсарь о том, как меняется компания.   За чем следить   Северсталь   МСФО 3кв2021.  Распространение коронавируса в России.",0
Рост капитализации Самолета  в раза — планы и прогнозы менеджмента.,0
3. Начинается цикл роста для добытчиков нефти с ростом спроса на сырье. Топ-пик РДВ в нефтяном секторе — Роснефть .,0
5. Сегежа  — недооцененная компания роста. Покупка активов в Сибири увеличивает оценку акций Сегежа на .,0
"Топ-пик РДВ в нефтяном секторе — Роснефть .  1. Проект Восток-Ойл Роснефти сейчас особенно актуален и, вероятно, найдёт новых инвесторов. Мировой энергетический кризис может помочь Роснефти продать доли в Восток Ойле по высокой оценке. Из-за глобального недоинвестирования в добычу нефти в мире покупатели на Восток-Ойл найдутся.  2. Роснефть может получить доступ к экспорту газа через Северный поток-2. Допуск в трубу по текущим спотовым ценам газа увеличил бы прибыль Роснефти на .  3. Справедливая стоимость акций Роснефти по консервативной оценке составляет рублей, апсайд .",1
